,department,code,level,name,Credit Hours,Prerequisites,Description,Corequisite
11,BIOL,BIOL_2108,2,Principles of Biology II,3.0,"BIOL_2107K_or_BIOL_2107_and_BIOL_2107L,_each_with_a_C_or_higher","The biology of organisms with emphasis on structure, physiology, ecology, and evolutionary mechanisms and relationships. Fulfills Biology major requirement.",BIOL_2108L
12,BIOL,BIOL_2108K,2,Principles of Biology II,4.0,BIOL_2107K_or_BIOL_2107_and_BIOL_2107L_with_grades_of_C_or_higher,"Three lecture and three laboratory hours a week. The biology of organisms with emphasis on structure, physiology, ecology, and evolutionary mechanisms and relationships. Fulfills Biology major requirement. Includes a $50 lab fee.",
13,BIOL,BIOL_2108L,2,Principles of Biology II Laboratory,1.0,"MATH_1112_or_MATH_1113_with_a_grade_of_C_or_higher,_or_appropriate_score_on_the_placement_test",Laboratory based application of topics covered in the lecture. Fulfills Biology major requirement. Includes a lab fee.,BIOL_2108
14,BIOL,BIOL_2110,2,Human Anatomy and Physiology I,3.0,BIOL_1103K_(or_BIOL_1103_and_BIOL_1103L)_or_BIOL_2107K_(or_BIOL_2107_and_BIOL_2107L)_or_CHEM_1151K_(or_CHEM_1151_and_CHEM_1151L)_or_CHEM_1211K_(or_CHEM_1211_and_CHEM_1211L)_or_PHYS_1111K_(or_PHYS_1111_and_PHYS_1111L)_with_a_C_or_better,Survey of the major organ systems in the human body. Chemical principles related to physiology are included.,BIOL_2110L
15,BIOL,BIOL_2110K,2,Human Anatomy and Physiology I,4.0,BIOL_1103K_(or_BIOL_1103_and_BIOL_1103L)_or_BIOL_2107K_(or_BIOL_2107_and_BIOL_2107L)_or_CHEM_1151K_(or_CHEM_1151_and_CHEM_1151L)_or_CHEM_1211K_(or_CHEM_1211_and_CHEM_1211L)_or_PHYS_1111K_(or_PHYS_1111_and_PHYS_1111L)_with_a_C_or_better,Survey of the major organ systems in the human body. Chemical principles related to physiology are included. Three lecture and two laboratory hours a week. Includes a $50 lab fee.,
16,BIOL,BIOL_2110L,2,Human Anatomy and Physiology I Laboratory,1.0,MATH_2211_with_grade_of_C_or_higher,Laboratory based application of topics covered in the lecture.,BIOL_2110
17,BIOL,BIOL_2120,2,Human Anatomy and Physiology II,3.0,"BIOL_2110K_or_BIOL_2110_and_BIOL_2110L,_each_with_a_'C'_or_better",Survey of the major organ systems in the human body. Chemical principles related to physiology are included.,BIOL_2120L
18,BIOL,BIOL_2120K,2,Human Anatomy and Physiology II,4.0,BIOL_2110K_(or_BIOL_2110_&_BIOL_2110L)_with_a_C_or_higher,Survey of the major organ systems in the human body. Chemical principles as related to physiology are included. Three lecture and two laboratory hours a week. Includes a $50 lab fee.,
19,BIOL,BIOL_2120L,2,Human Anatomy and Physiology II Laboratory,1.0,MATH_2212_with_a_C_or_higher,Laboratory based application of topics covered in the lecture.,BIOL_2120
20,BIOL,BIOL_2240,2,Introduction to Human Physiology,3.0,BIOL_1104_and_BIOL_1104L_or_BIOL_1104K;_or_BIOL_1108_and_BIOL_1108L_or_BIOL_1108K;_or_BIOL_2108_and_BIOL_2108L_or_BIOL_2108K_with_grade_of_C_or_higher,Major organ systems with emphasis on homeostatic mechanisms in health and disease.,
21,BIOL,BIOL_2250,2,Human Physiology Laboratory,1.0,"BIOL_2240_with_grade_of_D_or_higher,_or_concurrently",Exercises dealing with major organ systems. Recommended for health sciences students. Includes a $50 lab fee.,
22,BIOL,BIOL_2300,2,Microbiology and Public Health,3.0,one_year_each_of_high_school_biology_and_chemistry_recommended,"An introduction to infectious disease agents of significance in individual and community health settings. The characteristics, symptoms, diagnosis, control, and treatment of infectious diseases will be considered. The course is designed primarily for students who intend to enter one of the health professions.",
23,BIOL,BIOL_2310,2,Microbiology and Public Health Laboratory,1.0,"BIOL_2300_with_grade_of_D_or_higher,_or_concurrently",Three laboratory hours a week. Basic laboratory techniques for culture and identification of microbes. Includes a $50 lab fee.,
24,BIOL,BIOL_2500,2,Neurobiology and Behavior,2.0,BIOL_1104_and_BIOL_1104L_or_BIOL_1104K;_or_BIOL_1108_and_BIOL_1108L_or_BIOL_1108K;_or_BIOL_2108_and_BIOL_2108L_or_BIOL_2108K;_and_CHEM_1212_and_CHEM_1212L;_or_CHEM_1212K_with_a_C_or_higher,"An introduction to the neural basis of behavior in animals. The emphasis will be on the evolutionary connectedness of all nervous systems, including that of humans, and on demystifying how the brain works, using both reductionist and systems-level approaches.",
25,BIOL,BIOL_2600,2,Emerging Scholars Research Experience,2.0 - 3.0,Available_to_Dual_Enrollment_high_school_students_only,Permission of instructor. Students work with mentors to articulate a research question; develop hypotheses; design and execute experiments; and analyze and interpret the results they obtain. Student projects will be presented in oral and poster sessions at the end of this seven-week summer course. Strong emphasis placed on stimulating critical thinking and developing scientific writing skills to effectively comprehend and communicate scientific knowledge.,
26,BIOL,BIOL_2800,2,Introduction to Molecular Biology,2.0,BIOL_1104_and_BIOL_1104L_or_BIOL_1104K;_or_BIOL_1108_and_BIOL_1108L_or_BIOL_1108K;_or_BIOL_2108_and_BIOL_2108L_or_BIOL_2108K_with_grade_of_C_or_higher,"Introduction to understanding DNA structure and replication, transcription, and translation, and the regulation of these processes with an emphasis on improving students’ critical thinking and problem solving skills.",
27,BIOL,BIOL_3020,3,Introduction to Marine Biology,3.0,"BIOL_1104K,_BIOL_1108K,_or_BIOL_2108K_with_grade_of_C_or_higher","A comprehensive overview of the marine environment and the characteristics of marine organisms and their distinctive communities, such as coral reefs, kelp forests, seagrass beds, and the deep ocean.",
28,BIOL,BIOL_3021,3,Infectious Disease and Society,3.0,BIOL_1104K_or_BIOL_2108K_with_grade_of_C_or_higher,"A consideration of the role played by infectious diseases in shaping civilization and society. The focus will be on HIV/AIDS, but sexually transmitted infections such as syphilis, gonorrhea, genital herpes, and genital warts will be discussed as well. HIV/AIDS will also be compared with other infectious diseases of historical importance including the Black Death, leprosy, smallpox, tuberculosis, influenza, and poliomyelitis.",
29,BIOL,BIOL_3240,3,Applied Medical Physiology,3.0,"BIOL_1104K,_BIOL_1108K,_or_BIOL_2108K,_and_CHEM_1212K_with_grades_of_C_or_higher,_or_consent_of_instructor","Three lecture hours a week. Integrative physiology of major organ systems, with emphasis on homeostatic mechanisms in health and disease.",
30,BIOL,BIOL_3250,3,Human Physiology Laboratory,1.0,"BIOL_3240_with_grade_of_C_or_higher,_or_concurrently",Three laboratory hours a week. Exercises dealing with the physiology of the major organ systems. Includes a $50 lab fee.,
31,BIOL,BIOL_3430,3,Biotechnology,3.0,BIOL_2108K_and_CHEM_1212K_with_grades_of_C_or_higher,"Three lecture hours a week. Fundamental principles of biotechnology. Topics include genetic engineering of bacteria, plants and animals; molecular and cellular cloning; the human genome project; forensics and DNA typing; cloning of organisms; and gene therapy. Bioethical implications are also considered.",
32,BIOL,BIOL_3440,3,Fundamentals of Evolution,3.0,BIOL_2108K_with_grade_of_C_or_higher,"Three lecture hours a week. Mechanisms of evolution, from the molecular to the population level. Topics include population genetics, adaptation, natural selection, speciation, systematics, coevolution, history of life, the geological record, and evolution of humans. This course is also recommended for middle and high school biology teachers.",
33,BIOL,BIOL_3690,3,Honors Reading,1.0 - 3.0,Good_standing_with_the_Honors_College_and_consent_of_instructor,Discussion and readings on selected topics.,
34,BIOL,BIOL_3740,3,Biomedical Ethics,3.0,MATH_3000_with_grade_of_C_or_higher,"Introduction to major moral problems in science and medicine, such as abortion, death and euthanasia, treatment of the mentally ill, experimentation with animal and human subjects, genetic research, and neuroethical issues.",
35,BIOL,BIOL_3800,3,Molecular Cell Biology,3.0,"BIOL_2107K_(or_BIOL_2107_and_BIOL_2107L)_or_BIOL_2800;_and_CHEM_1212K_(or_CHEM_1212_and_CHEM_1212L),_all_with_a_C_or_higher","Three lecture hours a week. A survey of biochemistry, molecular genetics, and cell biology including cell structure and chemistry, macromolecular structure and synthesis, protein trafficking, cell motility, signaling, and division. Students may only complete this course twice.",
36,BIOL,BIOL_3810,3,Molecular Cell Biology Laboratory-CTW,3.0,"BIOL_3800_with_grade_of_C_or_higher,_or_concurrently",Experiments demonstrating techniques and concepts in molecular cell biology with an emphasis on learning critical thinking through writing. Students may only complete this course twice. Serves as one of the two Critical Thinking Through Writing (CTW) courses required of all biology majors. Includes a $75 lab fee.,
37,BIOL,BIOL_3820,3,Plant Biology,3.0,"BIOL_2108K_(or_BIOL_2108_and_BIOL_2108L)_with_a_C_or_higher,_or_equivalents","Three lecture hours a week. Dynamic aspects of plant function, structure, and growth.",
38,BIOL,BIOL_3830,3,Plant Biology Laboratory,1.0,MATH_3000_with_grade_of_C_or_higher,"BIOL 2108K (or BIOL 2108 and BIOL 2108L) and BIOL 3820 or equivalents, all with C or higher . Three laboratory hours a week. Students will explore the dynamic aspects of plant structure, function and growth through inquiry-based labs. Plant ecology and conservation techniques and issues, as well as human uses and modifications of plants will be explored in lab demonstrations and experiments.",
39,BIOL,BIOL_3840,3,Animal Biology,3.0,MATH_3000_with_grade_of_C_or_higher,"BIOL 2108K (or BIOL 2108 and BIOL 2108L) or equivalents, with a C or higher",
40,BIOL,BIOL_3850,3,Animal Biology Laboratory,1.0,BIOL_3840_or_equivalent_with_a_C_or_higher,BIOL 3840 may be taken concurrently. Three laboratory hours a week. Comparative structure and function of representative animal types. Includes a $75 lab fee.,
41,BIOL,BIOL_3880,3,Microbiology,3.0,"BIOL_2108K_and_BIOL_3800_with_grades_of_C_or_higher,_or_equivalents","Three lecture hours a week. Functional anatomy, metabolism, cultivation, growth, and control of microorganisms with emphasis on the prokaryotes; relationships of these organisms to their environment.",
42,BIOL,BIOL_3890,3,Microbiology Laboratory,1.0,BIOL_3880_or_equivalent_with_a_C_or_higher,"BIOL 3880 may be taken concurrently. Three laboratory hours a week. Techniques of cultivation, quantitation, isolation, and identification of microorganisms with emphasis on bacteria; effects of physical and chemical reagents. Includes a $75 lab fee.",
43,BIOL,BIOL_3900,3,Genetics,3.0,BIOL_2108K_and_BIOL_3800_with_grades_of_C_or_higher_or_equivalent_course_work,"CHEM 2400 recommended. Three lecture hours a week. Introduction to classical and molecular genetics including Mendelian genetics, gene mapping, and molecular biology.",
44,BIOL,BIOL_3910,3,Genetics Laboratory,1.0,BIOL_3900_or_equivalent_with_a_C_or_higher,BIOL 3900 may be taken concurrently. Experiments demonstrating concepts in genetics. Three laboratory hours a week. Includes a $75 lab fee.,
45,BIOL,BIOL_3990,3,Independent Readings,2.0,"BIOL_3800_with_grade_of_C_or_higher,_and_consent_of_instructor",Students will read and review primary literature in the field of biology. Students will discuss the readings with the instructor and/or write papers. Topics may vary. Course may be repeated for credit a maximum of two times.,
46,BIOL,BIOL_4010,4,Mathematical Biology,3.0,"MATH_1220,_MATH_2202,_or_MATH_2212_with_a_C_or_higher","(Same as MATH 4010.) This course provides an introduction to the use of continuous and discrete differential equations in the biological sciences. Biological topics will include single species and interacting population dynamics, modeling infectious and dynamic diseases, regulation of cell function, molecular interactions and receptor-ligand binding, biological oscillators, and an introduction to biological pattern formation. There will also be discussions of current topics of interest such as Tumor Growth and Angiogenesis, HIV and AIDS, and Control of the Mitotic Clock. Mathematical tools such as phase portraits, bifurcation diagrams, perturbation theory, and parameter estimation techniques that are necessary to analyze and interpret biological models will also be covered.",
47,BIOL,BIOL_4011,4,Principles of Paleontology,4.0,"GEOL_1122K_with_grade_of_C_or_higher,_or_consent_of_instructor","(Same as GEOL 4011.) Three lecture and three laboratory hours a week. An introduction to the principles of paleontology including taphonomy, taxonomy, evolution, and extinction by examination of the fossil record. Study of commonly preserved organisms and their use in paleoecology, paleoenvironmental reconstruction, biostratigraphic correlation, and conservation paleobiology will be stressed as well. This course may include a Signature Experience component.",
48,BIOL,BIOL_4014K,4,Invertebrate Biology,4.0,"BIOL_3840_and_BIOL_3850_with_grades_of_C_or_higher,_or_equivalent_course_work","Three lecture and three laboratory hours a week. Structure, function, distribution, and taxonomic relationships of invertebrate animals.",
49,BIOL,BIOL_4015K,4,Vertebrate Biology,4.0,"BIOL_3840_and_BIOL_3850_with_grades_of_C_or_higher,_or_equivalent_course_work,_or_consent_of_instructor","Three lecture and three laboratory hours a week. Diversity, taxonomy, structure, function, distribution, and ecology of living and extinct vertebrates.",
50,BIOL,BIOL_4030,4,Computational Neuroscience,4.0,"NEUR_3000_or_BIOL_4102,_and_MATH_2201_with_a_C_or_higher","A project-based course focused on building and testing computational models of neurons, networks, and neural circuits that mediate animal behavior.",
51,BIOL,BIOL_4040,4,Neuroethology,4.0,"NEUR_3000_or_BIOL_4102,_or_equivalent,_with_a_grade_of_C_or_higher","(Same as NEUR 4040). Four lecture hours per week. The neural basis of behavior from an ethological perspective. The course will cover discoveries, techniques, and concepts underlying neuroethological research. Developmental, evolutionary, and comparative approaches are emphasized. 4.00 credit hours.",
52,BIOL,BIOL_4045K,4,General Ecology-CTW,4.0,"BIOL_3820,_BIOL_3840,_BIOL_4050K,_or_equivalent_with_a_C_or_higher;_or_permission_of_instructor","Principles governing distribution and abundance of organisms and their interactions. Experiments, data collection and analysis of ecological processes with an emphasis on critical thinking through writing. Three lecture and two laboratory hours per week. Serves as a Critical Thinking Through Writing (CTW) course for biology majors. Includes a $75 lab fee.",MATH_4435
53,BIOL,BIOL_4050K,4,The Natural Environment of Georgia,4.0,"BIOL_1104K_or_BIOL_2108K_with_grade_of_C_or_higher,_and_GEOG_1113_or_equivalent,_or_consent_of_instructor","(Same as GEOG 4050.) Three lecture hours a week with a one day weekend lab every other weekend. Georgia is a state with great a diversity of natural communities, in large part because of the many different landscapes present in the state. Through readings, discussions, tests, field outings, projects and in-class exercises, students will become familiar with the principles involved in the structure and function of Georgia’s dwindling, but diverse, ecosystems. There will be an emphasis on plant communities and the physical environment, but animal communities and landscape management strategies will also be covered. Locations, diversity, and plant indicator species (especially trees) will be examined in the classroom and in the field, and experiential learning is emphasized. This course may include a Signature Experience component.",
54,BIOL,BIOL_4055K,4,Experimental Methods in Field Ecology,4.0,"Either_BIOL_1104K_(or_BIOL_1104_and_BIOL_1104L),_BIOL_2108K_(or_BIOL_2108_and_BIOL_2108L),_GEOG_1112K_(or_GEOG_1112_and_GEOG_1112L),_or_GEOG_1113K_(or_GEOG_1113_and_GEOG_1113L);_and_approval_of_instructor","Three week intensive field methods course (5 hours/day, 5 days/week, with possible evening or weekend training). Students will learn basic field and lab techniques to assess environmental variables (i.e., vegetation analysis, stream health, soil quality and macroinvertebrates, and social impact. They will collect and analyze data, design projects, and present results at the end of the course. Signature Experience course. Includes a $50 lab fee.",
55,BIOL,BIOL_4070,4,Sensory Neuroscience,3.0,"NEUR_3000_or_BIOL_4102,_or_PSYC_4110_with_a_grade_of_C_or_higher","The course will cover the neural basis of sensation and perception, from neural coding in the sense organs to central representation leading to perception. The neurobiology of vision, audition, somatosensation (touch and pain), and chemosensation (taste and smell) will be covered.",
56,BIOL,BIOL_4074,4,Developmental Biology,4.0,BIOL_3800_with_a_C_or_higher,"Introduction to developmental biology emphasizing cellular, genetic, and molecular aspects and mechanisms of development. Four lecture hours a week.",
57,BIOL,BIOL_4076,4,Evolutionary Developmental Biology,4.0,"BIOL_3440,_BIOL_3800,_BIOL_4074_with_a_C_or_higher;_or_consent_of_the_instructor","This course will investigate the synthesis of developmental biology and evolutionary thought. Topics include how the development of insects and vertebrates have evolved over time, how evo-devo can generate and maintain organismal diversity, and how evo-devo provides insight into human evolution.",
58,BIOL,BIOL_4080,4,Clinical Neuroscience,4.0,NEUR_3000_or_BIOL_4102_with_a_grade_of_C_or_higher,"This course will examine the neurobiological basis of mental disorders such as depression and schizophrenia as well as the neurodegenerative conditions of Parkinsonâs and Alzheimerâs Diseases. Additional topics include psychoneuroimmunology, stress and coping, the role of genetics and epigenetics in neurological and neuropsychiatric disorders, and the role of gut microbes in health and disease.",
59,BIOL,BIOL_4094,4,Developmental Neurobiology,4.0,"BIOL_3800_with_grade_of_C_or_higher,_or_equivalent",Four lecture hours per week. Introduction to the development of the nervous system. Covers the field of developmental neurobiology from neural induction to the modification of neuronal connections in the adult nervous system and uses a variety of model organisms to demonstrate the rules by which nervous systems develop.,
60,BIOL,BIOL_4100,4,Cellular and Molecular Neuroscience,4.0,NEUR_3000_or_BIOL_3800_with_a_grade_of_C_or_higher,"Advanced exploration of cellular and molecular function in neurons and glia. Topics include excitable membranes and cells, ion channels and receptors, synaptic transmission and plasticity, neural development, and molecular bases of neurological diseases.",
61,BIOL,BIOL_4102,4,Neurobiology,4.0,"BIOL_3800_and_BIOL_3840_with_grades_of_C_or_higher,_or_equivalent","Comprehensive basis for understanding brain research, major discoveries in neuroscience, and the methods employed for those achievements. Topics include the neural basis of learning and memory, sensory perception, motor control, neurological diseases, drug action, and behavior.",
62,BIOL,BIOL_4104,4,Zoo Biology,4.0,"BIOL_3840_with_grade_of_C_or_higher,_or_equivalent","Four lecture hours a week. Historical background as well as current issues and developments in zoos. Topics include conservation, SSPs (Species Survival Plans), behavioral enrichment, studbook management, and planning/economics of major exhibits. Course instruction will be on-site at Zoo Atlanta. Students will work directly with animal curators and keepers. This course may include a Signature Experience component.",
63,BIOL,BIOL_4115,4,Medical Neuroanatomy,4.0,"BIOL_3840_with_grade_of_C_or_higher,_or_equivalent",Four lecture hours per week. Human brain and spinal cord functional neuroanatomy and associated pathologies.,
64,BIOL,BIOL_4200,4,Neuroscience of Memory,3.0,NEUR_3000_or_BIOL_4102_with_a_C_or_higher,"An introduction to the neural bases of memory. The course begins with a review of the historical background, experimental methods, and relevant principles of neuroscience. The neuroscience of memory will then be reviewed at different levels of biological organization, including molecular/cellular, neural circuit, neural system, and behavioral.",
65,BIOL,BIOL_4210,4,Neuroscience of Motivation and Emotion,3.0,NEUR_3000_or_BIOL_4102_with_a_C_or_higher,"An examination of how the nervous system generates motivation and emotional states in diverse species, including humans. Topics include neural mechanisms of thirst and hunger, defense and fear, and social behavior, as well as disorders of emotion and motivation.",
66,BIOL,BIOL_4240,4,Endocrinology,4.0,"CHEM_2410_or_CHEM_3410_with_a_C_or_higher,_or_equivalent_course_work;_CHEM_4600_is_recommended","Four lecture hours a week. Basic biochemistry and physiology of the endocrine system, including synthesis and secretion of steroid and protein hormones, mechanisms of hormone action, and endocrinology of reproduction.",
67,BIOL,BIOL_4241,4,Hormones and Behavior,4.0,"BIOL_3840_with_grade_of_C_or_higher,_or_equivalent","(Same as PSYC 4630.) Four lecture hours per week. Interaction of nervous and endocrine systems in the control of animal behavior, including humans, with emphasis on the mechanisms that adapt behavior to the changing physical and social environments.",
68,BIOL,BIOL_4246,4,Advanced Human Physiology,4.0,"BIOL_2240_or_BIOL_3240,_and_BIOL_3800_with_grades_of_C_or_higher,_or_equivalents","The circulatory, respiratory, gastrointestinal, and renal physiological systems will be emphasized.",
69,BIOL,BIOL_4248,4,Cell Physiology,4.0,"BIOL_3840,_BIOL_3880,_BIOL_3900;_and_CHEM_2410_or_CHEM_3410_with_a_C_or_higher,_or_equivalent",CHEM 4600 is recommended. Four lecture hours a week. Mechanisms of cell and organelle function at the molecular level.,
70,BIOL,BIOL_4250,4,Cell Cycle and Cancer,4.0,BIOL_3800_with_a_C_or_better,This course discusses the cell cycle and how misregulation of this well orchestrated process results in cancer. Strong emphasis will be placed on stimulating critical thinking and developing scientific writing skills to effectively comprehend and communicate scientific knowledge in the field of cell cycle and cancer.,
71,BIOL,BIOL_4278,4,Immunology,4.0,"BIOL_3880_and_BIOL_3900_with_grades_of_C_or_higher,_or_equivalent_course_work","Four lecture hours a week. Principles of immunobiology with emphasis on humoral and cellular immunity, immunochemical methods for detection, quantitation and study of humoral antibodies and immune cells.",
72,BIOL,BIOL_4282,4,Tumor Immunology,4.0,BIOL_3800_with_grade_of_C_or_higher,"This course discusses the molecular basis of tumorigenesis and the interactions between the immune system and tumors/cancer cells. Topics covered include: basic tumorigenesis of common solid tumors, basic immunology, tumor antigen expression, types of immune responses to tumors, mechanisms by which tumors escape/suppress the immune response and novel approaches for immunotherapy of advanced cancers.",
73,BIOL,BIOL_4284,4,Medical Biochemistry in Health and Disease,4.0,CHEM_4600_with_a_C_or_better,"Overview of principles of biochemistry and metabolism at both the cellular and whole body level under normal physiological conditions in maintaining physical and mental health and in various disease states. These include exercising, starvation, trauma, infection, pregnancy, aging-related mental illness, obesity, diabetes, cardiovascular diseases and cancer. Four hours a week. Crosslisted with BIOL 6284.",
74,BIOL,BIOL_4292,4,Leadership in Biology,2.0,"BIOL_2108_and_BIOL_2108L_(or_BIOL_2108K)_with_a_C_or_higher,_or_permission_of_the_instructor","This course promotes development of leadership skills in the context of science careers, with a focus on biology. Includes interactive lectures, presentations by guest speakers followed by student-led debriefings, mentoring experiences, field trip/site visits, and class projects aiming to drive public engagement and outreach.",
75,BIOL,BIOL_4340,4,Neurophysics,3.0,,"Course provides fundamental findings of physics of neuronal systems. The course covers such topics as introduction to biomechanics, membranes, transport, electroosmotic effects, ion pumping, cellular homeostasis, the Hodgkin-Huxley formalism, energetics of spiking, neural coding, and dynamics of neurons and neuronal networks. It also covers methods of recording of neuronal activity.",
76,BIOL,BIOL_4428,4,Medical Microbiology,4.0,"BIOL_3880_with_grade_of_C_or_higher,_or_equivalent_course_work","Four lecture hours per week. An overview of significant human and animal pathogens, including aspects of bacterial, viral, protozoan, and helminthic infections and pathogenesis. Pathogen characteristics and features, epidemiology, immunity, and treatment.",
77,BIOL,BIOL_4438,4,Applied Microbiology,4.0,"BIOL_3880_with_grade_of_C_or_higher,_or_equivalent_course_work","Four lecture hours a week. Microbiology of industrial processes, including quality control, fermentations, biotransformations, strain selection, and maintenance.",
78,BIOL,BIOL_4451,4,Aquatic Pollution and Toxicology,4.0,"BIOL_2108K_and_CHEM_1212K_with_grades_of_C_or_higher,_or_equivalent",CHEM 2400 recommended. Four lecture hours per week. Comprehensive introduction to water pollution (including relevant methods and techniques) and its relationship to public health.,
79,BIOL,BIOL_4458,4,Microbial Ecology and Metabolism,4.0,"BIOL_3880_and_CHEM_2400_with_grades_of_C_or_higher,_or_equivalent_course_work",Four lecture hours a week. Microbial communities and the interrelationships of microorganisms and environment. Particular emphasis on metabolic activities and their measurement and applications to environmental problems (bioremediation).,
80,BIOL,BIOL_4460,4,Parasitology,4.0,BIOL_3800_with_grade_of_C_or_higher_or_consent_of_instructor,"A survey of the important parasites of humans and domestic animals. Emphasis will be placed on medically important parasitic protozoa, helminthes, and arthropods; clinical effects of infection, epidemiology, methods for detection and identification as well as global impact of parasitic diseases in today’s world.",
81,BIOL,BIOL_4480,4,Principles of Toxicology,4.0,"BIOL_1104K,_BIOL_1108K,_or_BIOL_2108K_with_grade_of_C_or_higher,_or_equivalent_course_work","CHEM 4600 is recommended. Four lecture hours a week. Studies of the absorption, distribution, and excretion of toxicants, their detoxification and bioactivation, and their adverse effects.",
82,BIOL,BIOL_4484,4,Laboratory Techniques in Applied and Environmental Microbiology,4.0,"BIOL_3880,_BIOL_3890,_or_equivalent_course_work;_BIOL_4438_and_BIOL_4458,_with_grades_of_C_or_higher","One lecture and six laboratory hours a week. Techniques and procedures for isolation, characterization, and identification of microorganisms of practical significance; model ecosystems and biofilms; sampling and enumeration of microorganisms; metabolism; and analysis of microbial growth. Includes a $50 lab fee.",
83,BIOL,BIOL_4500,4,Human Genetics,4.0,"BIOL_3900_with_grade_of_C_or_higher,_or_equivalent","Four lecture hours a week. Principles of human heredity, with emphasis on the molecular basis of heredity, detection and treatment of genetic diseases, and genetic counseling.",
84,BIOL,BIOL_4545,4,Bioethics and Biotechnology,4.0,"BIOL_3900_with_a_C_or_higher,_or_equivalent","Four lecture hours a week. Ethical issues raised by recent advances in biotechnology, genomics, and other areas of molecular genetics and cell biology. Specific topics include: eugenics; molecular, cellular and organismal cloning; personalized medicine; stem cell research; the genetics of behavior; and the role of epigenetics in the nature vs. nurture debate.",
85,BIOL,BIOL_4564,4,Advanced Genetics,4.0,BIOL_3900_with_grade_of_C_or_higher,"Four lecture hours a week. Advanced topics and techniques in prokaryotic and eukaryotic genetic systems, including gene mapping, molecular techniques, regulation of gene expression, genomics, and population genetics.",
86,BIOL,BIOL_4565,4,General Oncology,4.0,BIOL_3900_with_grade_of_C_or_higher,"Four lecture hours a week. Etiology, pathology, mechanisms of metastasis and treatment of cancer. Students will also analyze current primary literature in the field.",
